00:06:56  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:06:56  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:06:56  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:06:56  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:06:56  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:06:56  L -> UBX CFG,  Size   8,  'Config'
00:06:57  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:06:57  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:06:57  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:06:57  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:06:57  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:06:57  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:06:57  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:06:57  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:06:57  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:06:58  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:06:58  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:06:58  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:06:58  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:06:58  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:06:58  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:06:58  L -> UBX CFG,  Size   8,  'Config'
00:06:58  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:06:58  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:06:58  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:06:59  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:06:59  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:06:59  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:06:59  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:06:59  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:06:59  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:06:59  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:06:59  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:06:59  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:06:59  L -> UBX CFG,  Size   8,  'Config'
00:07:00  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:07:00  L -> NMEA GPVTG,  Size  42,  'Course Over Ground and Ground Speed'
00:07:00  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:07:00  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:07:00  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:07:00  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:07:00  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:07:00  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:07:00  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:07:01  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:07:01  L -> NMEA GPVTG,  Size  42,  'Course Over Ground and Ground Speed'
00:07:01  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:07:01  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:07:01  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:07:01  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:07:01  L -> UBX CFG,  Size   8,  'Config'
00:07:01  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:07:01  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:07:01  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:07:02  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:07:02  L -> NMEA GPVTG,  Size  42,  'Course Over Ground and Ground Speed'
00:07:02  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:07:02  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:07:02  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:07:02  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:07:02  L -> UBX CFG,  Size   8,  'Config'
00:07:02  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:07:02  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:07:02  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:07:03  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:07:03  L -> NMEA GPVTG,  Size  41,  'Course Over Ground and Ground Speed'
00:07:03  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:07:03  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:07:03  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:07:03  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:07:03  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:07:03  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:07:03  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:07:03  L -> UBX CFG,  Size   8,  'Config'
00:07:04  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:07:04  L -> NMEA GPVTG,  Size  42,  'Course Over Ground and Ground Speed'
