??:??:??  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:47  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:12:47  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:12:48  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:12:48  L -> NMEA GPVTG,  Size  41,  'Course Over Ground and Ground Speed'
00:12:48  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:12:48  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:12:48  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:12:48  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:12:48  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:48  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:12:48  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:12:48  L -> UBX CFG,  Size   8,  'Config'
00:12:49  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:12:49  L -> NMEA GPVTG,  Size  41,  'Course Over Ground and Ground Speed'
00:12:49  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:12:49  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:12:49  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:12:49  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:12:49  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:49  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:12:49  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:12:49  L -> UBX CFG,  Size   8,  'Config'
00:12:50  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
00:12:50  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
00:12:50  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:12:50  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:12:50  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:50  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:12:50  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:50  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:12:50  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:12:50  L -> UBX CFG,  Size   8,  'Config'
00:12:51  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:12:51  L -> NMEA GPVTG,  Size  41,  'Course Over Ground and Ground Speed'
00:12:51  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:12:51  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:12:51  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:51  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:12:51  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:51  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:12:51  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:12:51  L -> UBX CFG,  Size   8,  'Config'
00:12:52  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:12:52  L -> NMEA GPVTG,  Size  42,  'Course Over Ground and Ground Speed'
00:12:52  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:12:52  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:12:52  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:52  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:12:52  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:12:52  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:12:52  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
