??:??:??  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:37  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:13:37  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:37  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:13:37  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:37  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:37  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:37  L -> UBX CFG,  Size  10,  'Config'
00:13:38  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:38  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:38  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:38  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:13:38  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:38  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:13:38  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:38  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:38  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:38  L -> UBX CFG,  Size  10,  'Config'
00:13:39  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:39  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:39  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:39  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:13:39  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:39  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:13:39  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:39  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:39  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:40  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:40  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:40  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:40  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:13:40  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:40  L -> UBX CFG,  Size  10,  'Config'
00:13:40  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:13:40  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:40  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:40  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:41  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:41  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:41  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:41  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:13:41  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:41  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:13:41  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:41  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:41  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:41  L -> UBX CFG,  Size  10,  'Config'
00:13:42  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:42  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:42  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:42  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:13:42  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:42  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:13:42  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:42  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:42  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:42  L -> UBX CFG,  Size  10,  'Config'
00:13:43  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:43  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:43  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:43  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:13:43  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:43  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:13:43  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:43  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:43  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:44  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:44  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:44  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:44  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:13:44  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:44  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:13:44  L -> UBX CFG,  Size  10,  'Config'
00:13:44  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:44  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:44  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:45  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:13:45  L -> NMEA GPVTG,  Size  42,  'Course Over Ground and Ground Speed'
00:13:45  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:45  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:13:45  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:45  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:13:45  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:45  L -> UBX CFG,  Size  10,  'Config'
00:13:45  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:45  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:46  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:13:46  L -> NMEA GPVTG,  Size  41,  'Course Over Ground and Ground Speed'
00:13:46  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:46  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:13:46  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:46  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:13:46  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:46  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:46  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:46  L -> UBX CFG,  Size  10,  'Config'
00:13:47  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:13:47  L -> NMEA GPVTG,  Size  41,  'Course Over Ground and Ground Speed'
00:13:47  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:47  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:13:47  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:47  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:13:47  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:47  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:47  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:47  L -> UBX CFG,  Size  10,  'Config'
00:13:48  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:13:48  L -> NMEA GPVTG,  Size  41,  'Course Over Ground and Ground Speed'
00:13:48  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:48  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:13:48  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:48  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:13:48  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:48  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:48  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:48  L -> UBX CFG,  Size  10,  'Config'
00:13:49  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:13:49  L -> NMEA GPVTG,  Size  42,  'Course Over Ground and Ground Speed'
00:13:49  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:49  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:13:49  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:49  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:13:49  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:49  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:49  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:50  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:13:50  L -> NMEA GPVTG,  Size  42,  'Course Over Ground and Ground Speed'
00:13:50  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:50  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:13:50  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:50  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:13:50  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:50  L -> UBX CFG,  Size  10,  'Config'
00:13:50  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:50  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:51  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:13:51  L -> NMEA GPVTG,  Size  42,  'Course Over Ground and Ground Speed'
00:13:51  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:51  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:13:51  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:51  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:13:51  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:51  L -> UBX CFG,  Size  10,  'Config'
00:13:51  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:51  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:52  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:52  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:52  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:52  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:13:52  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:52  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:13:52  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:52  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:52  L -> UBX CFG,  Size  10,  'Config'
00:13:52  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:53  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:53  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:53  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:53  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:13:53  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:53  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:13:53  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:53  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:53  L -> UBX CFG,  Size  10,  'Config'
00:13:53  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:54  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:54  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:54  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:54  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:13:54  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:54  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:13:54  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:54  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:54  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:55  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:55  L -> UBX CFG,  Size  10,  'Config'
00:13:55  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:55  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:55  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:13:55  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:55  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:13:55  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:55  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:55  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:56  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:56  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:56  L -> UBX CFG,  Size  10,  'Config'
00:13:56  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:56  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:13:56  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:56  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:13:56  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:56  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:56  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:57  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:57  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:57  L -> UBX CFG,  Size  10,  'Config'
00:13:57  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:57  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:13:57  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:57  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:13:57  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:57  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:57  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:58  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:58  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:58  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:58  L -> NMEA GPGSA,  Size  58,  'GNSS DOP and Active Satellites'
00:13:58  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
00:13:58  L -> NMEA GPGSV,  Size  64,  'GNSS Satellites in View'
00:13:58  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:58  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:58  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:58  L -> UBX CFG,  Size  10,  'Config'
00:13:59  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:13:59  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:13:59  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:13:59  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:13:59  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:59  L -> NMEA GPGSV,  Size  64,  'GNSS Satellites in View'
00:13:59  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:13:59  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:13:59  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:13:59  L -> UBX CFG,  Size  10,  'Config'
00:14:00  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:14:00  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:14:00  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:14:00  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:14:00  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:00  L -> NMEA GPGSV,  Size  64,  'GNSS Satellites in View'
00:14:00  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:00  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:14:00  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:14:00  L -> UBX CFG,  Size  10,  'Config'
00:14:01  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:14:01  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:14:01  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:14:01  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:14:01  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:01  L -> NMEA GPGSV,  Size  64,  'GNSS Satellites in View'
00:14:01  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:01  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:14:01  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:14:01  L -> UBX CFG,  Size  10,  'Config'
00:14:02  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:14:02  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:14:02  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:14:02  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:14:02  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:02  L -> NMEA GPGSV,  Size  64,  'GNSS Satellites in View'
00:14:02  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:02  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:14:02  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:14:02  L -> UBX CFG,  Size  10,  'Config'
00:14:03  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:14:03  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:14:03  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:14:03  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:14:03  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:03  L -> NMEA GPGSV,  Size  64,  'GNSS Satellites in View'
00:14:03  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:03  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:14:03  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:14:04  L -> NMEA GPRMC,  Size  75,  'Recommended Minimum Specific GNSS Data'
00:14:04  L -> NMEA GPVTG,  Size  43,  'Course Over Ground and Ground Speed'
00:14:04  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:14:04  L -> UBX CFG,  Size  10,  'Config'
00:14:04  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:14:04  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:04  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:14:04  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:04  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:14:04  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:14:05  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:14:05  L -> NMEA GPVTG,  Size  42,  'Course Over Ground and Ground Speed'
00:14:05  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:14:05  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:14:05  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:05  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:14:05  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:05  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:14:05  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:14:05  L -> UBX CFG,  Size  10,  'Config'
00:14:06  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:14:06  L -> NMEA GPVTG,  Size  42,  'Course Over Ground and Ground Speed'
00:14:06  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:14:06  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:14:06  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:06  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:14:06  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:06  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:14:06  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:14:07  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:14:07  L -> NMEA GPVTG,  Size  42,  'Course Over Ground and Ground Speed'
00:14:07  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:14:07  L -> UBX CFG,  Size  10,  'Config'
00:14:07  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:14:07  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:07  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:14:07  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:07  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:14:07  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:14:08  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:14:08  L -> NMEA GPVTG,  Size  42,  'Course Over Ground and Ground Speed'
00:14:08  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:14:08  L -> UBX CFG,  Size  10,  'Config'
00:14:08  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:14:08  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:08  L -> NMEA GPGSV,  Size  64,  'GNSS Satellites in View'
00:14:08  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:08  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:14:08  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:14:09  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:14:09  L -> NMEA GPVTG,  Size  41,  'Course Over Ground and Ground Speed'
00:14:09  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:14:09  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:14:09  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:09  L -> NMEA GPGSV,  Size  64,  'GNSS Satellites in View'
00:14:09  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:09  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:14:09  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:14:09  L -> UBX CFG,  Size  10,  'Config'
00:14:10  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:14:10  L -> NMEA GPVTG,  Size  41,  'Course Over Ground and Ground Speed'
00:14:10  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:14:10  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
00:14:10  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:10  L -> NMEA GPGSV,  Size  64,  'GNSS Satellites in View'
00:14:10  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:10  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:14:10  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:14:10  L -> UBX CFG,  Size  10,  'Config'
00:14:11  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:14:11  L -> NMEA GPVTG,  Size  41,  'Course Over Ground and Ground Speed'
00:14:11  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:14:11  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
00:14:11  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:11  L -> NMEA GPGSV,  Size  66,  'GNSS Satellites in View'
00:14:11  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
00:14:11  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
00:14:11  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
00:14:12  L -> NMEA GPRMC,  Size  74,  'Recommended Minimum Specific GNSS Data'
00:14:12  L -> NMEA GPVTG,  Size  41,  'Course Over Ground and Ground Speed'
00:14:12  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
00:14:12  L -> UBX CFG,  Size  10,  'Config'
00:14:12  L -> NMEA GPGSA,  Size  62,  'GNSS DOP and Active Satellites'
